,Q
2019-09-23 02:00:00,28.319999366998672
2019-09-23 03:00:00,27.61999938264489
2019-09-23 04:00:00,26.969999397173524
2019-09-23 05:00:00,26.33999941125512
2019-09-23 06:00:00,25.729999424889684
2019-09-23 07:00:00,25.149999437853694
2019-09-23 08:00:00,24.58999945037067
2019-09-23 09:00:00,24.04999946244061
2019-09-23 10:00:00,23.53999947384
2019-09-23 11:00:00,23.03999948501587
2019-09-23 12:00:00,22.559999495744705
2019-09-23 13:00:00,22.089999506250024
2019-09-23 14:00:00,21.629999516531825
2019-09-23 15:00:00,21.60999951697886
2019-09-23 16:00:00,21.369999522343278
2019-09-23 17:00:00,21.059999529272318
2019-09-23 18:00:00,20.71999953687191
2019-09-23 19:00:00,20.309999546036124
2019-09-23 20:00:00,19.94999955408275
2019-09-23 21:00:00,19.58999956212938
2019-09-23 22:00:00,19.24999956972897
2019-09-23 23:00:00,18.909999577328563
2019-09-24 00:00:00,18.569999584928155
2019-09-24 01:00:00,18.249999592080712
2019-09-24 02:00:00,17.92999959923327
2019-09-24 03:00:00,17.629999605938792
2019-09-24 04:00:00,17.339999612420797
2019-09-24 05:00:00,17.049999618902802
2019-09-24 06:00:00,16.779999624937773
2019-09-24 07:00:00,16.509999630972743
2019-09-24 08:00:00,16.249999636784196
2019-09-24 09:00:00,15.999999642372131
2019-09-24 10:00:00,15.75999964773655
2019-09-24 11:00:00,15.52999965287745
2019-09-24 12:00:00,15.309999657794833
2019-09-24 13:00:00,15.089999662712216
2019-09-24 14:00:00,14.8699996676296
2019-09-24 15:00:00,14.649999672546983
2019-09-24 16:00:00,14.439999677240849
2019-09-24 17:00:00,14.219999682158232
2019-09-24 18:00:00,13.999999687075615
2019-09-24 19:00:00,13.389999700710177
2019-09-24 20:00:00,13.16999970562756
2019-09-24 21:00:00,12.949999710544944
2019-09-24 22:00:00,12.73999971523881
2019-09-24 23:00:00,12.539999719709158
2019-09-25 00:00:00,12.349999723955989
2019-09-25 01:00:00,12.169999727979302
2019-09-25 02:00:00,11.989999732002616
2019-09-25 03:00:00,11.829999735578895
2019-09-25 04:00:00,11.669999739155173
2019-09-25 05:00:00,11.509999742731452
2019-09-25 06:00:00,11.359999746084213
2019-09-25 07:00:00,11.219999749213457
2019-09-25 08:00:00,11.079999752342701
2019-09-25 09:00:00,10.949999755248427
2019-09-25 10:00:00,10.809999758377671
2019-09-25 11:00:00,10.68999976105988
2019-09-25 12:00:00,10.559999763965607
2019-09-25 13:00:00,10.439999766647816
2019-09-25 14:00:00,10.319999769330025
2019-09-25 15:00:00,10.189999772235751
2019-09-25 16:00:00,10.059999775141478
2019-09-25 17:00:00,9.929999778047204
2019-09-25 18:00:00,9.79999978095293
2019-09-25 19:00:00,9.669999783858657
2019-09-25 20:00:00,9.549999786540866
2019-09-25 21:00:00,9.419999789446592
2019-09-25 22:00:00,9.299999792128801
2019-09-25 23:00:00,9.17999979481101
2019-09-26 00:00:00,9.069999797269702
2019-09-26 01:00:00,8.959999799728394
2019-09-26 02:00:00,8.859999801963568
2019-09-26 03:00:00,8.759999804198742
2019-09-26 04:00:00,8.659999806433916
2019-09-26 05:00:00,8.55999980866909
2019-09-26 06:00:00,8.469999810680747
2019-09-26 07:00:00,8.379999812692404
2019-09-26 08:00:00,8.28999981470406
2019-09-26 09:00:00,8.2099998164922
2019-09-26 10:00:00,8.119999818503857
2019-09-26 11:00:00,8.039999820291996
2019-09-26 12:00:00,7.959999822080135
2019-09-26 13:00:00,7.879999823868275
2019-09-26 14:00:00,7.7899998258799314
2019-09-26 15:00:00,7.709999827668071
2019-09-26 16:00:00,7.62999982945621
2019-09-26 17:00:00,7.539999831467867
2019-09-26 18:00:00,7.449999833479524
2019-09-26 19:00:00,7.369999835267663
2019-09-26 20:00:00,7.27999983727932
2019-09-26 21:00:00,7.199999839067459
2019-09-26 22:00:00,7.1199998408555984
2019-09-26 23:00:00,7.039999842643738
2019-09-27 00:00:00,6.959999844431877
2019-09-27 01:00:00,6.889999845996499
2019-09-27 02:00:00,6.809999847784638
2019-09-27 03:00:00,6.749999849125743
2019-09-27 04:00:00,6.679999850690365
2019-09-27 05:00:00,6.609999852254987
2019-09-27 06:00:00,6.549999853596091
2019-09-27 07:00:00,6.489999854937196
2019-09-27 08:00:00,6.4299998562783
2019-09-27 09:00:00,6.369999857619405
2019-09-27 10:00:00,6.309999858960509
2019-09-27 11:00:00,6.249999860301614
2019-09-27 12:00:00,6.189999861642718
2019-09-27 13:00:00,6.129999862983823
2019-09-27 14:00:00,6.07999986410141
2019-09-27 15:00:00,6.019999865442514
2019-09-27 16:00:00,5.959999866783619
2019-09-27 17:00:00,5.899999868124723
2019-09-27 18:00:00,5.839999869465828
2019-09-27 19:00:00,5.76999987103045
2019-09-27 20:00:00,5.709999872371554
2019-09-27 21:00:00,5.6599998734891415
2019-09-27 22:00:00,5.599999874830246
2019-09-27 23:00:00,5.5399998761713505
